
  0-4, 9,20,27,31		4,15,21,23,29
  1-19,23,28,31,35		1, 3,20,28,29
  2-1, 7,10,27,28		14,16,20,24,35
  3-2,14,20,26,33		5,16,23,25,31
  4-17,18,24,33,35		4, 5, 6,18,20
  5-6, 8,21,31,33		3, 6,12,16,32
  6-14,16,17,24,25		1,11,18,33,34
  7-5, 6, 8,18,27		1, 6, 9,27,30
  8-10,18,21,25,29		1, 6,13,17,29
  9-4,13,16,17,31		10,15,23,32,33
 10-15,23,25,30,35		8,18,26,28,33
 11-5,18,20,22,30		15,17,26,31,32
 12-3, 5,14,17,22		6,15,18,20,26
 13-4, 8,10,17,34		1,19,23,24,33
 14-4, 7,17,22,33		8,13,24,27,29
 15-5,14,29,30,33		5,18,20,30,32
 16-10,13,16,25,30		7,13,18,34,35
 17-3, 4, 6,13,22		3,21,23,28,33
 18-9,24,25,31,34		3, 8,18,22,35
 19-7,10,15,22,25		4, 8,12,18,28
 20-3, 4, 6,10,29		8,12,18,19,29
 21-5,12,14,24,31		1, 5,12,24,32
 22-5, 6,12,13,17		7,12,16,18,21
 23-1,15,17,18,25		3, 4,27,29,31
 24-7,13,15,17,33		2, 8,16,26,33
 25-1, 8,21,22,26		3,23,24,26,35
 26-17,18,20,26,28		5,13,29,31,32
 27-3,16,26,28,30		2, 5,16,23,28
 28-12,22,26,29,35		9,20,29,32,35
 29-2, 5, 9,22,28		9,17,20,34,35
 30-5,13,18,23,24		5, 8,15,29,31
 31-4,19,21,27,33		10,17,20,26,35
 32-2,12,14,18,23		2, 5, 9,10,19
 33-1, 5, 7,13,17		1, 5,19,23,30
 34-4,12,26,27,31		1, 7,12,32,33
 35-13,16,20,22,31		6, 8,22,29,35
 36-3,11,20,28,35		2,11,28,30,33
 37-17,23,29,30,34		2, 9,10,15,29
 38-5, 6,12,21,34		1, 7,22,26,32
 39-16,17,29,31,35		2,14,16,23,24
 40-7,12,13,15,20		3,11,18,22,26
 41-1, 6, 7,27,31		5, 9,22,25,29
 42-3, 9,21,22,33		2, 3,27,30,34
 43-2,14,15,20,32		1, 2,13,18,26
 44-2, 4, 8,21,28		4, 8, 9,22,23
 45-3, 6,12,15,20		6, 8,16,21,22
 46-2, 4,22,27,33		6,13,17,28,35
 47-15,18,19,20,22		2,11,19,24,34
 48-4, 8,12,19,33		6,19,22,31,32
 49-1, 3, 4,14,23		5, 8,17,18,21
 50-3, 4,13,14,35		12,14,15,17,34
 51-5,11,13,14,20		6,19,21,22,30
 52-5,19,24,30,31		8, 9,11,24,25
 53-8,12,15,16,24		13,20,30,32,35
 54-6, 8,14,24,27		7,11,15,17,31
 55-13,15,26,28,29		4, 7,15,30,34
 56-4, 9,12,16,31		3, 7,13,28,30
 57-2, 6,17,18,32		1, 6,13,22,34
 58-6,12,13,24,27		2, 3,20,27,28
 59-3,13,15,20,31		8,14,17,24,27
 60-1, 2,16,21,23		5,12,25,26,32
 61-7,12,18,23,29		1,13,18,29,30
 62-2, 8, 9,32,33		11,12,24,31,33
 63-3, 4,13,15,25		8,18,22,25,31
 64-9,23,24,29,35		5,13,24,32,33
 65-1, 5,26,33,34		4, 7,10,11,24
 66-9,12,26,27,28		5,15,17,18,35
 67-4, 7,15,29,34		1, 7,11,26,28
 68-1,11,17,29,30		12,20,25,30,34
 69-13,17,19,20,31		3,14,18,28,29
 70-5,17,19,24,32		3,13,25,29,33
 71-2, 4, 8,18,19		13,15,19,26,29
 72-17,25,26,28,34		4, 9,11,21,35
 73-5,26,30,31,35		2, 8,15,20,28
 74-2, 7, 9,20,32		6,24,28,29,33
 75-11,16,19,20,35		4, 7,20,22,35
 76-13,29,30,31,35		1,11,23,24,25
 77-5, 6,14,17,27		21,22,27,28,30
 78-2, 7,11,16,34		14,22,28,30,34
 79-3, 4,11,12,27		3, 6, 9,14,27
 80-5, 7,17,32,35		1, 8,20,23,34
 81-1, 5, 7,14,32		25,26,29,31,35
 82-8,16,18,22,27		6, 7,14,15,30
 83-7,12,22,29,34		3, 8,11,27,28
 84-8,27,28,31,32		5,11,20,21,31
 85-6, 9,11,14,22		9,11,18,23,28
 86-2, 7,10,18,34		14,25,29,34,35
 87-6,10,11,20,30		11,22,25,27,31
 88-21,22,28,29,32		5,12,23,25,26
 89-2, 7,16,24,29		6,26,27,31,35
 90-5, 6,15,21,29		3, 5, 7,10,14
 91-10,26,27,32,33		5, 8,23,26,33
 92-1,13,17,25,33		3, 5, 7, 8,29
 93-5, 9,18,28,29		9,16,19,21,24
 94-1, 6, 8,11,34		10,18,19,25,35
 95-7, 9,22,27,28		2, 3, 7,19,20
 96-23,28,30,33,35		3, 6, 7, 8,31
 97-3,12,18,26,31		17,20,32,33,35
 98-8,11,30,31,32		1,17,20,21,29
 99-6,10,24,28,29		4,12,14,26,31
100-15,24,30,31,34		2,20,22,23,34
101-2, 9,14,22,28		1,15,17,23,31
102-1,19,23,26,33		3,15,22,33,35
103-7,11,15,19,25		2, 3, 5,12,19

