1,3,10,13,26,27         1,7,11,23,29
2,2,3,6,9,25            8,11,13,14,15
3,15,18,22,28,31        1,15,21,23,35
4,2,9,14,17,29          2,6,9,13,17
5,12,21,24,28,32        9,10,16,22,32
6,4,8,26,27,32          7,9,26,32,34
7,18,22,23,28,34        11,15,19,30,32
8,2,5,8,14,31           11,19,29,33,34
9,2,17,26,27,31         6,15,17,22,24
10,6,17,24,25,28        2,14,17,23,32
11,2,13,20,22,29        13,18,20,22,23
12,1,4,8,13,15          1,13,15,33,35
13,6,7,16,22,23         10,16,19,30,32
14,1,7,8,14,24          10,15,25,30,34
15,5,6,8,33,34          4,7,19,21,33
16,6,13,23,24,33        3,4,9,13,20
17,3,14,15,17,31        12,31,32,33,35
18,5,6,12,28,33         5,7,10,13,18
19,9,22,25,27,30        3,6,12,23,31
20,2,6,19,20,34         9,10,11,26,28
21,5,11,14,26,35        5,7,8,16,25
22,6,15,16,17,35        11,18,29,32,35
23,1,5,19,32,33         8,23,29,33,34
24,3,10,18,24,26        2,8,19,22,24
25,5,12,19,20,34        9,15,16,18,24
26,9,18,26,30,34        1,7,13,33,35
27,10,11,21,27,29       8,9,17,25,29
28,10,14,15,18,19       8,14,26,33,35
29,1,6,22,23,26         10,12,14,23,33
30,1,4,25,28,29         2,7,9,21,35
31,5,6,12,15,19         15,21,22,23,30
32,17,19,25,29,30       3,8,27,33,35
33,8,15,17,19,23        1,25,28,31,32
34,5,10,31,33,35        11,14,16,22,34
35,10,15,20,24,30       3,8,11,14,29
36,2,5,16,24,31         5,17,27,29,30
37,6,14,20,22,24        9,17,18,26,27
38,13,16,17,18,20       3,5,20,21,30
39,6,8,11,32,34         1,22,30,31,33
40,1,9,25,27,33         2,8,14,24,30
41,7,10,14,23,25        3,15,26,30,33
42,9,21,24,29,30        9,13,22,24,30
43,5,6,11,13,25         2,18,22,23,27
44,16,23,26,28,33       15,20,21,24,33
45,3,7,12,19,31         2,24,29,30,34
46,4,11,25,28,33        5,7,12,17,25
47,4,11,15,27,28        12,22,23,31,35
48,8,9,18,19,24         13,15,18,30,32
49,10,14,19,23,31       1,4,9,10,11
50,1,9,17,19,26         1,4,6,8,15
51,5,12,17,24,25        3,8,10,24,28
52,2,11,13,14,32        2,8,15,24,35
