  1-9,11,15,20,33     2,10,25,26,31      4,10,11,16,30
  2-5,11,12,29,33     3,7,9,26,28        7,8,9,14,35
  3-9,14,16,28,32     5,7,27,31,33       4,12,19,26,29
  4-5,16,21,26,28     11,25,26,28,29     5,7,13,17,34
  5-4,21,25,29,31     15,23,30,31,34     1,4,13,21,31
  6-4,13,25,26,33     1,6,11,17,21       1,9,28,29,35
  7-4,18,22,26,28     2,12,21,32,33      8,15,17,24,28
  8-4,12,13,15,18     1,2,3,34,35        7,15,21,23,34
  9-7,9,17,30,34      5,7,9,11,24        12,13,21,32,34
 10-3,9,20,28,29      1,7,11,30,31       11,13,15,22,28
 11-3,6,13,25,32      5,22,27,28,32      4,15,21,27,31
 12-5,18,22,24,35     3,4,8,15,34        19,24,32,33,35
 13-6,8,14,27,34      11,15,18,28,31     16,24,29,31,32
 14-16,17,19,27,35    5,13,15,27,29      4,10,11,24,29
 15-2,3,15,16,33      2,4,5,9,10         4,13,18,23,34
 16-16,18,25,27,33    1,6,12,15,18       5,9,17,19,23
 17-10,12,16,26,27    19,21,25,32,35     7,21,23,26,33
 18-15,19,27,28,34    1,3,20,22,28       6,12,13,22,31
 19-10,11,14,28,35    12,17,21,30,31     1,4,13,24,32
 20-7,14,16,17,34     3,18,23,24,33      1,6,18,27,33
 21-5,7,9,11,23       5,19,30,32,35      5,22,24,25,27
 22-12,14,17,18,23    17,19,23,24,29     2,3,13,23,29
 23-1,6,23,26,28      6,20,24,28,33      10,14,26,28,34
 24-14,19,23,31,33    1,3,12,17,20       1,2,9,26,33
 25-7,8,10,22,27      6,12,14,23,35      4,15,23,28,35
 26-1,6,13,20,21      6,18,20,21,24      3,5,6,23,25
 27-3,4,11,12,28      16,21,23,25,28     3,13,15,27,29
 28-5,24,28,31,34     4,5,19,26,30       9,20,24,26,32
 29-1,12,15,25,29     13,14,27,30,33     12,13,23,24,26
 30-4,7,15,19,24      6,15,19,20,29      4,6,14,26,30
 31-5,11,28,29,33     1,13,19,25,26      3,6,15,24,32
 32-4,5,15,27,28      3,4,6,7,26         4,5,11,21,29
 33-4,5,12,20,29      3,11,17,30,31      2,3,10,13,34
 34-3,13,20,28,30     5,11,12,27,28      1,4,14,22,30
 35-1,5,14,27,28      21,23,25,27,30     6,8,25,26,30
 36-5,8,10,15,16      7,24,28,33,34      12,15,22,25,28
 37-13,14,17,20,31    7,12,21,22,26      3,13,21,28,32
 38-2,14,21,26,35     25,27,28,32,34     1,3,16,22,33
 39-3,9,11,17,28      2,10,17,18,31      2,13,18,28,30
 40-16,19,21,22,32    3,19,26,28,35      2,9,10,13,28
 41-1,10,11,12,25     8,10,12,32,34      5,11,16,28,32
 42-21,24,27,28,33    10,15,16,18,32     8,20,22,24,26
 43-1,2,21,32,34      1,17,18,28,30      2,13,19,30,35
 44-1,11,12,26,28     1,6,7,23,26        3,7,14,17,23
 45-1,2,13,17,27      3,4,17,20,21       2,12,16,17,31
 46-3,12,19,28,31     11,15,18,25,32     10,11,17,21,24
 47-12,13,17,19,35    1,3,6,9,28         7,8,26,27,28
 48-2,7,17,21,30      18,24,25,30,33     10,14,15,17,32
 49-5,6,14,24,27      9,12,14,20,32      2,3,16,20,30
 50-6,23,25,29,34     1,3,16,21,32       4,9,23,25,33
 51-3,4,6,10,28       12,17,26,30,32     7,8,20,22,33
 52-17,18,23,24,25    8,14,24,25,34      1,2,7,14,33
 53-5,7,20,21,31      4,12,18,20,31      6,23,27,30,32
 54-4,9,17,23,27      5,8,9,12,33        2,4,6,18,33
 55-1,3,14,17,29      10,14,15,18,22     8,13,14,16,24
 56-1,4,12,23,24      3,6,20,30,31       3,5,25,26,33
 57-5,15,19,20,21     20,23,30,31,35     20,21,30,31,32
 58-11,13,17,29,30    14,18,23,25,26     8,9,19,25,31
 59-2,11,20,26,31     3,17,26,28,34      6,13,19,27,34
 60-4,7,18,20,30      6,9,13,21,33       8,9,13,21,33
 61-12,23,26,30,35    4,6,7,8,30         8,13,15,16,24
 62-5,14,17,20,34     3,12,15,23,29      7,8,21,31,33
 63-11,13,16,19,30    2,4,10,13,18       1,7,11,15,29
