1,1,2,5,13,15
2,7,16,17,30,33
3,5,12,15,22,24
4,4,14,20,29,33
5,3,6,11,19,29
6,7,10,18,33,35         8,10,17,18,29
7,9,15,17,24,25         2,8,13,23,30
8,3,11,15,25,34         5,17,24,33,35
9,8,13,20,30,31         4,8,19,27,28
10,1,7,8,22,35          1,11,13,16,24
11,14,15,16,22,26       1,5,10,12,14
12,6,16,20,21,23        15,16,27,28,29
13,1,3,7,11,14          22,24,26,28,32
14,1,5,7,33,34          11,16,28,30,32
15,9,23,29,31,34        11,12,14,16,35
16,5,20,21,24,34        12,19,24,30,35
17,4,12,23,25,29        19,20,21,22,32
18,3,7,19,23,34         7,11,13,24,35
19,13,19,20,29,33       5,11,17,25,28
601,6,8,10,15,16        1,9,22,24,33            2,21,22,29,35           8,16,17,27,30
20,11,13,21,30,32       7,19,23,24,28
21,3,11,27,29,35        1,17,25,26,33
22,2,8,9,12,17          4,9,15,30,34
23,6,10,18,25,30        18,22,30,31,33
24,10,18,20,25,31       16,30,31,33,34
25,8,18,24,34,35        4,5,21,30,35
26,1,2,3,9,12           8,12,19,23,28
27,16,22,26,28,33       3,6,10,12,15
28,5,9,15,16,24         10,13,20,21,26
29,10,12,25,31,34       1,6,7,28,35
30,2,7,18,28,31         2,15,18,22,30
31,2,10,11,19,27        13,18,24,28,32
602,7,8,10,24,28        4,14,24,28,33
