  1		 2,  6, 15, 29, 34		 1,  8, 17, 21, 31
  2		14, 18, 25, 27, 29		 4,  7, 25, 27, 32
  3		 4,  9, 24, 25, 31		 8, 14, 28, 29, 32
  4		14, 19, 26, 31, 34		 5,  8, 19, 23, 31
  5		20, 27, 29, 31, 33		 7,  8, 21, 23, 35
  6		12, 19, 23, 28, 30		 5, 13, 21, 30, 33
  7		 4,  9, 15, 17, 24		 6,  7, 10, 16, 32
  8		 6, 12, 21, 31, 32		 7,  9, 16, 26, 30
  9		 1,  8, 13, 18, 32		11, 23, 25, 27, 34
 10		 2,  6, 15, 18, 19		 6,  7, 10, 21, 29
 11		 2,  7, 17, 24, 32		 9, 11, 15, 34, 35
 12		18, 22, 23, 32, 33		 9, 14, 17, 24, 28
 13		 6, 17, 18, 23, 28		 1,  3,  5, 12, 19
 14		 2, 10, 14, 20, 28		 9, 13, 14, 20, 27
 15		 6, 11, 13, 29, 32		20, 21, 29, 32, 34
 16		15, 16, 17, 20, 33		15, 17, 19, 30, 34
 17		 4, 15, 16, 24, 33		 2, 18, 23, 27, 29
 18		13, 20, 27, 31, 34		 1,  8, 20, 28, 29
 19		20, 21, 27, 33, 34		 7, 10, 21, 26, 29
 20		 7, 16, 22, 32, 33		 6,  8, 18, 27, 31
 21		19, 21, 23, 26, 28		 2,  6, 26, 32, 33
 22		 4,  6, 13, 18, 20		 1, 21, 23, 28, 31
 23		 2, 16, 22, 30, 34		14, 17, 19, 23, 31
 24		 1, 13, 16, 31, 35		11, 12, 13, 19, 32
 25		 4, 11, 16, 19, 28		10, 13, 16, 24, 35
 26		10, 12, 18, 33, 34		 8, 10, 23, 24, 27
 27		 5, 14, 19, 29, 34		 1,  7, 23, 25, 31
 28		15, 18, 20, 22, 31		 5,  6, 20, 21, 25
 29		 4, 16, 18, 19, 29		 4,  9, 10, 12, 30
 30		 3,  8, 13, 22, 24		14, 18, 22, 27, 28
 31		 8, 13, 19, 21, 32		17, 20, 23, 25, 35
 32		10, 17, 21, 22, 32		 2,  3, 11, 21, 34
 33		 1,  3, 12, 14, 16		19, 22, 27, 29, 34
 34		 3, 11, 14, 16, 25		 8, 29, 32, 34, 35
