  1		15, 16, 17, 24, 27		 3,  8, 20, 26, 32
  2		 6, 12, 23, 26, 35		 4,  6,  9, 10, 27
  3		 1,  4,  7, 12, 26		 1, 11, 12, 13, 20
  4		 3,  4, 19, 26, 34		 6, 19, 24, 29, 31
  5		10, 15, 18, 27, 30		 7, 20, 22, 25, 35
  6		22, 25, 28, 32, 33		 7, 11, 19, 22, 28
  7		 4, 14, 18, 25, 34		 1,  5, 31, 32, 34
  8		 1,  5, 20, 24, 35		 3, 14, 28, 31, 33
  9		 6, 13, 18, 20, 28		18, 24, 25, 31, 34
 10		 3,  4, 21, 25, 28		 5, 16, 21, 26, 29
 11		 9, 15, 16, 25, 34		 5, 15, 16, 27, 32
 12		13, 17, 18, 19, 23		 7, 17, 22, 23, 34
 13		10, 16, 17, 18, 27		13, 16, 23, 31, 33
 14		 7,  8, 24, 31, 34		 1,  9, 14, 20, 22
 15		15, 17, 18, 24, 31		 4,  6,  8, 25, 32
 16		 1,  7, 10, 18, 32		 4,  6,  7, 15, 33
 17		 2,  8, 17, 27, 29		 4,  6, 12, 23, 29
 18		18, 20, 28, 33, 35		 4,  5,  9, 26, 35
 19		 5, 13, 24, 29, 34		11, 15, 18, 20, 28
 20		11, 14, 18, 20, 26		 7, 21, 23, 27, 33
 21		 5,  9, 11, 21, 25		 5, 13, 15, 23, 25
 22		 3, 16, 30, 32, 34		 2, 10, 14, 20, 26
 23		 3,  8, 15, 17, 31		 4,  5, 19, 20, 24
 24		 3, 19, 25, 31, 34		 7, 18, 22, 29, 30
 25		 4,  6, 12, 24, 29		11, 14, 17, 18, 23
 26		 1,  4,  5, 24, 35		 5, 26, 30, 31, 34
 27		10, 11, 12, 30, 33		 6,  9, 12, 18, 32
 28		 4, 17, 22, 25, 27		 5, 11, 26, 29, 32
 29		 6, 11, 21, 32, 33		 1, 16, 18, 25, 32
 30		11, 20, 21, 26, 33		11, 13, 22, 25, 29
 31		 1,  3,  8, 17, 18		10, 17, 19, 23, 35
 32		11, 15, 20, 22, 28		 2,  7, 10, 12, 22
 33		 5, 11, 18, 24, 28		 2, 13, 22, 25, 32
 34		 1,  9, 12, 14, 24		11, 16, 19, 21, 24
 35		10, 14, 21, 28, 34		 4,  5, 16, 32, 34
 36		 6, 12, 17, 21, 22		 1,  7, 12, 25, 28
 37		 2, 18, 28, 30, 33		12, 15, 18, 23, 26
 38		10, 12, 20, 27, 30		13, 15, 20, 22, 27
 39		 3,  4,  5, 20, 22		 1, 11, 19, 23, 30
 40		 5,  9, 17, 27, 29		 3,  9, 19, 27, 31
 41		 2, 11, 17, 22, 29		 5, 13, 15, 24, 33
 42		 2,  4,  5,  6, 12		 5,  8,  9, 25, 33
 43		 6,  7, 14, 18, 33		 2,  6,  7, 12, 13
 44		 4, 14, 17, 18, 28		 1,  3, 17, 29, 32
 45		 7, 24, 30, 33, 35		 6, 17, 18, 27, 28
 46		27, 31, 32, 33, 35		 1,  8, 16, 17, 19
 47		 1, 10, 16, 23, 28		 3,  6, 26, 29, 33
 48		12, 18, 20, 25, 27		 1, 25, 26, 31, 34
 49		 9, 18, 21, 30, 34		 5,  7, 15, 25, 28
 50		 1, 10, 14, 19, 21		 8,  9, 10, 15, 23
 51		 1,  3,  4, 19, 27		 6, 16, 28, 30, 32
 52		 4, 14, 18, 26, 34		 3,  6, 21, 28, 30
 53		 1,  3,  5, 12, 18		 6,  9, 25, 26, 29
 54		 5, 14, 24, 25, 32		 6, 11, 14, 30, 35
 55		 5,  6, 15, 24, 28		 4,  5,  8, 29, 30
 56		 3, 13, 17, 21, 33		17, 18, 27, 29, 35
 57		 2,  5, 11, 19, 34		 2,  4, 27, 30, 34
 58		 7, 10, 16, 19, 25		17, 18, 19, 21, 25
 59		 1, 14, 20, 29, 31		 1,  4, 10, 11, 32
 60		 7, 13, 24, 30, 32		 7, 11, 16, 18, 30
 61		10, 12, 20, 25, 32		 3,  9, 16, 19, 24
 62		 8, 12, 20, 25, 35		 5, 13, 21, 25, 34
 63		 1,  6, 18, 19, 29		11, 16, 19, 21, 32
 64		 7, 22, 28, 30, 32		 9, 11, 16, 18, 28
 65		 3,  9, 13, 15, 30		 5,  6, 16, 18, 21
 66		 3,  6, 21, 30, 33		 6,  9, 16, 30, 34
 67		 4,  6, 15, 31, 35		18, 20, 28, 30, 34
 68		 8, 15, 18, 22, 32		 3, 14, 20, 24, 25
 69		 2,  8, 21, 31, 32		 7,  8, 18, 26, 27
 70		 2,  9, 12, 23, 27		 2,  5, 16, 17, 24
 71		 3, 11, 13, 14, 25		 7,  9, 10, 19, 30
 72		 4,  7, 16, 22, 30		 4, 18, 21, 26, 30
