1,7,9,13,16,32          4,9,15,23,30
2,19,25,29,30,34        9,10,14,19,33
3,2,9,14,30,31          1,16,24,26,30
4,8,12,16,21,25         2,7,13,19,28
5,1,7,16,17,35          13,15,18,20,25
6,3,5,10,19,25          2,12,18,26,32
7,1,7,13,21,34          5,7,21,33,34
8,3,24,26,28,30         17,18,19,22,35
9,6,8,24,29,32          3,19,20,24,26
10,9,21,29,33,34        6,13,22,27,32
11,12,17,18,27,29       1,10,13,17,20
12,7,15,18,19,23        6,12,20,22,28
13,1,5,7,12,19          4,6,12,17,29
14,2,6,7,28,32          7,18,22,29,31
15,8,17,18,29,30        8,10,16,29,34
16,15,17,18,22,29       1,12,18,26,35
17,8,18,19,21,24        1,2,13,23,35
18,1,18,19,20,27        1,7,8,9,20
19,9,11,20,31,33        5,10,12,14,17
20,2,5,6,11,24          13,15,21,22,26
21,13,15,29,34,35       4,14,22,24,35
22,14,16,24,28,33       7,18,19,22,28
23,3,5,7,22,26          2,10,13,24,35
24,19,22,24,29,35       2,3,14,32,33
25,2,5,24,25,33         1,2,6,28,29
26,7,17,18,20,29        1,5,8,31,33
27,17,20,22,30,32       4,7,13,16,21
28,3,9,10,15,16         8,9,10,25,28
29,2,5,8,17,22          3,6,8,20,35
30,2,14,21,29,32        1,22,27,31,32
31,1,10,19,21,30        2,9,10,19,28
32,5,8,25,26,34         2,10,15,16,32
33,9,13,31,32,34        2,6,10,18,31
34,11,12,13,24,34       3,26,32,33,35
35,8,16,17,23,25        10,13,27,33,35
36,2,3,6,8,21           12,14,17,32,35
37,9,21,23,32,34        7,16,22,27,35
38,2,9,17,21,34         3,9,11,21,34
39,4,8,13,28,32         4,9,12,20,23
40,9,14,28,32,33        10,12,19,27,31
41,2,5,9,28,29          12,20,24,31,33
42,5,13,15,16,27        13,17,19,22,33
43,12,20,25,27,34       17,28,30,34,35
44,19,20,23,29,31       14,26,28,30,34
45,5,19,21,26,27        11,18,20,21,27
46,19,25,26,28,35       15,16,19,29,30
47,15,21,27,29,30       4,5,14,16,35
48,3,6,12,28,34         1,3,9,25,28
49,4,7,10,27,34         1,21,23,24,29
50,1,3,8,27,34          7,8,9,14,20
51,16,28,30,32,35       5,7,10,16,28
52,15,20,29,32,35       9,11,13,30,34
