  0-11,15,16,21,23   1,7,13,34,35       7,10,12,24,26
  1-5,13,17,26,34    7,13,23,30,32      6,14,18,27,32
  2-10,18,21,23,29   10,12,22,26,35     1,20,22,23,25
  3-3,8,10,11,15     4,6,7,10,28        3,11,16,20,27
  4-2,5,17,22,27     3,8,9,16,33        4,29,30,33,34
  5-6,11,12,13,18    1,3,18,24,25       3,9,15,20,27
  6-9,19,24,26,34    11,12,14,20,21     1,10,20,31,33
  7-11,20,21,24,29   17,27,28,31,33     5,8,9,12,33
  8-4,19,26,33,35    7,12,20,24,27      8,16,19,26,31
  9-4,7,8,14,33      4,19,23,27,29      5,6,11,19,24
 10-11,13,14,15,16   7,16,19,23,34      6,8,12,22,24
 11-4,10,14,15,35    7,8,13,18,32       3,7,9,11,13
 12-2,8,27,28,31     2,4,5,8,14         5,10,18,27,35
 13-2,13,14,23,24    3,18,21,22,28      1,13,16,19,28
 14-10,14,16,24,34   5,9,16,18,28       3,7,19,22,30
 15-4,9,14,17,20     3,5,17,18,24       6,8,9,22,28
 16-3,10,17,28,30    12,18,19,20,33     5,6,9,15,22
 17-1,2,4,10,22      16,23,26,28,30     1,4,8,11,25
 18-1,5,14,16,29     3,4,29,30,34       12,14,24,30,33
 19-3,7,18,20,33     6,16,26,31,34      1,10,13,16,34
 20-20,22,23,24,32   7,14,25,27,29      10,23,26,28,34
 21-2,9,10,14,35     5,13,20,29,35      5,11,17,29,33
 22-14,22,28,30,32   7,16,18,32,33      1,16,23,32,35
 23-6,16,25,26,34    2,7,10,23,25       9,11,20,21,24
 24-1,13,16,23,28    6,9,22,26,28       4,14,18,23,28
 25-2,10,22,27,30    6,18,27,28,32      2,4,19,21,23
 26-7,12,22,30,34    6,7,12,23,32       4,17,27,29,32
 27-2,7,27,29,30     8,9,15,17,24       14,17,22,23,24
 28-12,15,18,30,31   1,6,22,30,35       4,6,13,27,34
 29-10,11,19,26,27   4,5,18,22,27       13,16,18,30,34
 30-1,24,29,32,34    1,4,17,19,30       8,9,10,30,31
 31-26,28,31,32,34   6,7,29,30,32       7,11,15,31,35
 32-17,24,25,26,27   4,14,16,17,20      7,9,11,12,23
 33-5,9,12,20,28     5,6,12,24,34       7,13,17,28,32
 34-3,13,17,22,23    4,9,23,27,30       1,5,16,17,27
 35-20,21,25,26,29   1,8,30,32,34       6,16,21,27,30
 36-6,8,13,21,29     1,9,16,19,21       4,9,10,24,34
 37-2,14,22,23,25    5,6,12,23,35       2,4,6,21,31
 38-12,17,25,27,28   4,5,23,31,34       7,22,26,32,33
 39-5,15,16,30,32    8,20,29,30,32      6,7,11,28,31
 40-4,6,26,30,31     26,29,31,33,35     18,20,22,24,27
 41-2,5,15,23,28     5,19,20,26,28      3,6,10,17,22
 42-13,22,23,24,30   14,17,21,22,29     4,17,19,23,26
 43-3,7,10,11,18     10,27,29,34,35     3,5,6,21,29
 44-5,6,20,22,26     1,13,17,19,29      12,16,22,26,31
 45-5,14,20,29,34    9,10,16,21,28      19,25,26,32,34
 46-8,9,10,22,35     6,11,15,18,22      4,5,10,12,27
 47-16,19,22,27,28   9,10,14,16,20      1,8,10,24,27
 48-1,3,9,25,29      18,22,31,33,34     1,3,5,25,33
 49-11,18,25,26,32   5,14,29,33,34      8,12,21,29,32
 50-8,10,30,32,34    3,8,10,12,31       2,10,11,34,35
 51-4,10,20,32,35    2,5,7,12,26        4,9,14,17,28
 52-5,13,20,22,30    7,13,17,28,31      3,14,20,24,33
 53-3,12,13,25,27    3,12,17,19,20      6,25,27,28,31
 54-20,22,25,26,29   4,8,9,16,28        6,21,28,32,35
 55-4,5,10,11,33     6,12,33,34,35      11,16,21,22,26
 56-8,20,27,29,33    14,20,25,28,35     1,5,14,22,23
 57-4,12,15,17,19    4,5,15,19,33       3,14,16,20,28
 58-7,13,15,23,35    1,6,7,9,28         11,17,22,25,29
 59-4,9,10,21,28     14,16,26,30,31     5,19,25,29,32
 60-6,17,23,31,34    2,8,18,20,28       2,17,18,32,35
 61-9,11,13,19,30    3,14,19,20,24      5,10,13,18,26
 62-1,3,5,23,24      4,12,23,28,32      1,4,14,16,33
 63-3,8,18,19,21     9,24,28,30,34      3,13,18,22,23
 64-3,7,22,24,28     1,7,11,21,26       11,13,19,21,28
 65-7,13,27,30,31    5,20,28,32,34      3,5,26,31,33
 66-8,25,27,30,31    2,12,23,28,35      13,16,19,23,31
 67-5,9,12,14,29     10,13,15,21,26     10,17,22,26,31
 68-7,16,20,29,32    7,13,18,25,32      3,8,18,23,34
 69-8,17,27,29,30    7,14,17,24,34      5,10,11,18,25
 70-10,17,24,28,35   11,23,25,33,35     3,13,20,24,34
 71-10,22,26,34,35   4,5,15,24,35       11,19,28,31,33
 72-6,12,17,33,35    8,12,18,23,27      11,12,15,16,18
 73-1,2,11,25,26     15,19,29,34,35     1,5,7,9,32
 74-3,12,13,25,28    1,2,18,21,26       20,26,28,29,32
 75-1,14,17,18,33    4,10,19,30,32      5,11,20,24,31
 76-3,4,18,20,32     2,8,23,25,32       6,10,17,24,26
 77-7,8,9,19,21      4,12,27,33,34      1,5,16,20,21
 78-10,17,24,25,32   19,22,23,32,33     3,9,21,24,30
 79-1,17,21,34,35    2,14,15,27,34      1,7,13,27,30
 80-8,13,23,31,32    2,7,9,27,33        3,9,17,20,24
 81-7,9,11,12,20     9,17,18,33,34      2,11,15,27,32
 82-5,14,18,20,27    4,6,13,23,31       2,4,9,19,22
 83-7,8,13,14,29     3,12,20,23,35      2,19,20,26,31
 84-1,10,17,18,30    3,22,28,30,33      2,8,9,13,17
 85-12,15,21,27,31   3,7,25,29,32       8,10,18,24,33
 86-8,24,28,30,34    4,5,11,17,33       19,21,24,29,30
 87-1,7,30,33,34     1,6,19,31,33       9,13,14,22,25
 88-10,14,16,19,27   5,6,7,10,13        11,13,14,22,33
 89-4,15,16,18,35    14,23,25,33,35     1,3,7,8,19
 90-2,10,20,22,30    6,9,10,18,30       3,15,16,26,35
 91-5,22,24,26,27    2,6,10,30,33       3,14,19,27,31
 92-5,10,12,30,31    9,12,21,28,32      1,4,16,25,35
 93-2,12,13,14,23    7,8,16,17,30       6,16,19,24,31
 94-3,12,13,31,34    5,19,22,27,29      3,7,8,18,22
 95-6,11,14,24,34    4,7,8,22,26        4,7,13,19,27
 96-3,8,14,15,21     4,8,26,27,33       2,8,9,15,28
 97-2,12,19,21,27    1,7,17,21,24       2,4,13,28,34
 98-4,12,20,22,32    2,6,15,24,35       3,6,7,31,32
 99-1,7,24,25,32     4,11,13,18,35      8,12,18,31,34
100-10,18,28,29,33   3,9,27,30,31       3,19,26,33,34
101-1,8,18,19,26     1,9,18,28,31       17,20,21,23,24
102-2,21,23,26,30    3,10,19,25,31      7,9,16,24,32
103-6,13,18,27,31    11,21,27,28,29     16,25,26,27,30
