601,7,8,10,24,28        4,14,24,28,33
1,7,8,18,22,24          2,12,22,23,34
2,10,11,13,14,35        22,26,28,29,33
3,5,22,25,31,34         6,15,18,29,33
4,5,20,25,28,30         13,16,24,28,29
5,11,13,16,28,34        14,20,21,22,30
6,1,3,9,18,33           7,9,19,20,27
7,8,9,10,11,28          4,5,10,22,30
8,7,20,23,26,33         8,17,24,32,33
9,12,13,21,27,31        1,2,11,19,31
10,4,7,22,25,28         1,3,10,14,21
11,8,11,13,21,24        2,11,19,20,33
12,7,15,22,26,30        3,4,5,23,29
13,6,17,28,32,35        6,14,22,33,34
14,5,10,15,23,27        4,15,21,24,33
15,2,3,11,14,29         13,23,25,29,31
16,5,10,13,21,28        1,6,15,16,18
17,7,9,11,21,22         1,4,21,28,31
18,6,11,15,32,35        3,5,9,10,16
19,7,9,13,32,34         12,13,16,33,34
20,2,15,27,31,35        2,9,24,28,32
21,7,23,32,33,35        5,13,28,31,34
22,4,21,25,32,34        9,11,15,28,31
23,10,12,18,26,34       3,9,11,23,32
24,6,13,15,32,35        19,24,26,30,33
25,1,4,6,10,17          3,6,13,30,35
26,2,4,18,20,26         5,6,7,8,9
27,8,12,13,17,31        7,13,19,22,30
28,24,27,31,32,33       10,19,23,24,32
29,7,20,23,28,32        9,14,30,31,32
30,2,17,26,33,35        4,5,8,16,29
31,3,8,18,20,21         18,20,22,29,30
32,9,11,16,27,34        2,5,19,26,27
33,11,20,24,25,26       2,10,22,23,34
34,5,9,14,18,25         11,12,18,27,32
35,7,23,26,27,29        5,10,20,23,33
36,12,17,19,25,34       4,9,12,30,35
37,8,10,13,16,32        1,4,17,28,30
38,2,9,14,31,33         2,6,10,29,32
39,3,7,8,13,29          7,12,22,29,32
40,8,12,19,29,32        16,18,20,24,34
41,3,7,9,23,28          3,17,20,27,32
42,7,14,16,17,21        1,6,12,28,30
43,1,3,6,21,29          3,6,20,23,32
44,5,16,18,26,35        24,27,29,31,33
45,7,14,24,25,28        1,2,4,24,31
46,5,9,12,17,26         4,13,20,24,30
47,4,7,10,13,34         3,4,18,24,34
48,6,7,8,11,12          2,5,9,13,33
49,1,4,6,16,21          1,5,12,30,35
50,2,3,21,22,30         6,11,23,34,35
51,6,12,14,21,34        6,17,18,25,29
52,8,10,22,24,32        16,21,23,30,34
