0-2,10,12,13,33			8,18,22,25,30		11,20,23,24,34
1-1,22,23,28,33			9,11,13,21,22		9,10,12,26,33
2-6,19,21,24,26			4,12,14,26,32		3, 4,14,29,31
3-9,16,28,30,33			8,18,21,22,23		11,13,16,21,29
4-4,18,21,28,30			4,13,18,23,31		2, 3, 9,16,29
5-11,28,30,34,35		4, 7, 9,24,25		1, 2,16,23,33
6-5,23,27,33,35			2, 6, 7,29,35		4, 7,20,25,31
7-1,13,15,21,29			1, 4, 6, 7, 9		2, 5, 7,17,24
8-14,15,17,19,20		7,29,31,32,35
9-2, 9,18,24,29			2, 5,24,28,35
10-8,19,29,31,35		6, 7, 8,14,27
11-9,18,19,27,30		2, 4, 8,31,35
12-2, 6,21,24,31		8,10,13,19,35
13-8,20,26,28,31		2, 6,11,16,32
14-3,12,23,24,27		10,13,14,19,21
15-4, 6,11,28,30		6, 9,30,33,35
16-1, 4, 5, 6,22		3, 8,13,15,31
17-1, 4,12,27,28		1, 7,10,19,29
18-21,24,25,27,30		1,17,21,25,29
19-2,10,13,20,22		3, 6, 8,29,32
20-29,30,31,33,34		5,11,15,17,28
21-3, 9,25,26,29		3,14,15,23,24
22-9,12,23,24,25		4, 7,12,22,35
23-7,13,18,22,34		6,11,13,18,20
24-7,15,16,29,32		7,13,18,19,29
25-14,15,28,29,33		9,10,12,19,29
26-10,17,19,27,31		2, 3,19,22,29
27-14,17,19,22,26		22,28,29,33,34
28-16,21,22,32,35		6, 7,16,18,34
29-7,11,25,26,34		2, 5,18,24,34
30-5, 8, 9,21,32		16,23,26,27,33
31-8,15,17,20,32		3, 7,11,17,25
32-4, 5,16,25,34		3, 4,11,21,24
33-6,13,16,28,31		14,17,18,20,35
34-17,18,27,34,35		1, 9,19,20,28
35-9,11,28,30,33		3,10,11,13,18
36-7,10,16,28,30		2, 8,10,11,16
37-1,10,16,17,24		5, 8,12,14,30
38-2, 5,10,14,28		11,19,22,23,35
39-1, 4, 8,10,18		8,11,12,25,28
40-3,11,13,28,30		5, 6,13,19,35
41-1, 6,12,24,31		10,11,13,17,26
42-18,23,24,25,26		1, 4,16,27,35
43-4,14,33,34,35		15,18,21,22,34
44-7, 8,14,24,26		3, 7, 9,12,20
45-7,11,23,28,35		11,12,14,26,35
46-3, 5,20,27,33		1,12,15,23,32
47-17,18,27,29,35		1, 3,12,20,26
48-2, 3, 4, 6,10		1, 4,14,17,30
49-5, 6,10,11,32		13,14,22,29,32
50-3,23,24,26,31		9,17,28,33,34
51-8,10,19,20,35		16,17,22,24,30
52-10,11,15,22,33		11,13,17,26,34
53-3,12,15,20,33		5,19,22,27,28
54-8,14,18,24,35		16,25,26,29,33
55-6, 8,20,24,29		1, 8,12,18,25
56-12,15,24,32,33		1, 6,14,17,35
57-3, 6, 9,12,28		2, 9,12,15,19
58-4, 5,12,21,26		7,15,21,23,31
59-1, 9,10,22,33		12,20,24,25,28
60-14,15,27,30,33		14,15,19,28,29
61-5,17,19,26,32		6,15,19,22,23
62-1, 2,11,16,24		1,12,13,25,34
63-4, 5,10,18,27		8,10,19,21,26
64-1,16,19,22,33		1, 3,16,20,24
65-1, 8,19,25,33		18,26,28,33,34
66-14,17,20,27,33		7,12,22,24,32
67-2, 4,13,22,23		4, 6,21,27,35
68-8,11,14,32,35		1,10,11,23,33
69-4,13,31,33,34		13,16,17,29,33
70-5,16,30,33,35		11,19,31,34,35
71-6,10,21,27,30		1, 5, 6,11,25
72-5, 7,22,29,31		5,12,17,19,27
73-3, 4, 5,28,31		6, 8,11,24,34
74-1, 3,11,16,28		3,12,18,33,35
75-2,17,18,25,28		10,19,30,31,33
76-1, 7,22,32,35		12,20,21,25,26
77-9,10,12,23,27		16,18,20,24,27
78-4, 8,10,19,32		10,20,23,28,29
79-2, 8,11,29,31		2, 7,15,17,23
80-3, 7,21,30,32		6,11,16,22,25
81-1, 9,10,20,26		13,23,24,27,29
82-8,14,18,24,30		4,10,22,30,31
83-1, 3,13,14,35		5,10,18,27,34
84-3, 5, 8,11,26		6, 8,26,32,33
85-1, 2,11,32,35		1, 2, 4, 9,20
86-5, 6,15,22,29		8,11,12,19,25
87-7,25,27,33,34		3, 5,15,21,27
88-2, 8, 9,21,26		8,16,24,27,31
89-26,27,28,29,33		5,13,21,26,33
90-11,12,20,25,33		9,15,26,29,35
91-13,23,24,27,30		1,18,27,29,33
92-10,13,22,26,34		15,17,18,27,28
93-3, 7,18,21,33		5, 6,13,21,25
94-1, 2,14,21,26		7,13,15,17,32
95-14,15,16,20,35		1,15,20,27,34
96-19,26,28,30,33		6,11,12,15,34
97-4, 8,10,33,34		4,16,22,31,34
98-2, 9,14,17,22		6, 7,20,21,29
99-11,12,23,26,31		1, 7,17,18,29
100-1, 7, 9,10,24		8,11,13,15,22
101-14,19,23,25,28		14,19,21,23,30
102-23,24,26,31,32		3,10,16,21,28
