  0		 5,  6,  8, 16, 18		 7,  8, 14, 19, 24
  1		12, 20, 28, 29, 35		 9, 13, 14, 23, 29
  2		 4,  8, 13, 21, 23		 6, 18, 24, 30, 31
  3		 5, 12, 13, 28, 35		 5, 10, 12, 25, 29
  4		 5, 18, 24, 32, 34		15, 16, 20, 24, 34
  5		 1,  7, 12, 14, 25		 8,  9, 11, 20, 25
  6		 7, 15, 30, 33, 35		13, 18, 22, 26, 29
  7		 1,  2,  6, 20, 26		 2,  7, 29, 33, 35
  8		 4,  5,  7, 15, 16		 7, 11, 13, 25, 27
  9		 2,  3, 17, 18, 24		16, 22, 24, 27, 35
 10		 3,  5,  9, 12, 31		14, 15, 16, 24, 34
 11		 4, 19, 22, 25, 27		 8,  9, 10, 12, 20
 12		 4,  6, 29, 31, 32		17, 24, 26, 30, 32
 13		 1, 14, 20, 26, 32		 4, 13, 14, 16, 24
 14		 5, 11, 14, 19, 33		 6,  7,  8, 14, 35
 15		 7, 16, 20, 23, 24		 3, 11, 21, 23, 25
 16		 9, 11, 13, 17, 34		 3,  4,  6, 16, 34
 17		 8, 14, 15, 18, 32		 6,  7, 13, 17, 33
 18		 4,  6, 21, 22, 34		 2, 10, 21, 22, 28
 19		 5,  6, 13, 20, 24		 5, 15, 17, 20, 24
 20		11, 15, 19, 24, 31		 8, 12, 13, 15, 26
 21		15, 18, 21, 27, 30		 2,  5,  9, 15, 18
 22		 4,  7, 10, 12, 17		 2, 14, 17, 22, 29
 23		 4, 21, 25, 32, 33		 1, 24, 33, 34, 35
 24		 9, 10, 13, 25, 29		 2,  8, 13, 18, 35
 25		 1,  8, 18, 22, 35		 4,  5, 21, 22, 26
 26		 9, 12, 23, 26, 32		 1,  2, 17, 23, 30
 27		15, 20, 23, 24, 28		16, 18, 24, 29, 33
 28		 5, 17, 21, 23, 24		 4,  7, 11, 15, 26
 29		 4,  9, 19, 30, 33		 2, 13, 18, 21, 31
 30		17, 18, 22, 26, 33		12, 24, 29, 32, 34
 31		 1,  6, 26, 30, 31		 7, 10, 15, 27, 28
 32		 4,  9, 22, 23, 25		11, 18, 26, 29, 35
 33		20, 26, 28, 32, 35		 1, 26, 27, 29, 35
 34		11, 12, 15, 16, 24		 6,  8,  9, 18, 23
 35		 1, 15, 16, 22, 32		 2,  5, 16, 18, 26
 36		 9, 17, 26, 33, 34		 5, 21, 24, 25, 29
 37		12, 22, 25, 29, 32		 9, 15, 20, 29, 30
 38		 3,  6, 19, 24, 32		 4,  5,  8, 15, 27
 39		 8, 18, 25, 28, 32		 1,  4, 11, 17, 22
 40		17, 26, 28, 33, 34		 1,  5,  6, 30, 31
 41		 2,  3,  7, 24, 32		10, 14, 23, 26, 30
 42		 1,  3, 26, 32, 34		 4, 11, 14, 20, 28
 43		 2,  9, 23, 26, 27		 6,  8, 25, 32, 35
 44		13, 14, 22, 27, 31		 4,  9, 24, 25, 33
 45		 7, 24, 26, 30, 31		 4, 11, 12, 20, 25
 46		 3,  7, 17, 20, 33		 3,  7,  9, 10, 29
 47		 2,  3,  8, 20, 32		 2, 16, 21, 23, 30
 48		 2, 15, 17, 22, 28		 4, 12, 14, 25, 29
 49		18, 23, 24, 26, 29		 4,  7,  9, 14, 32
 50		 3,  8, 19, 25, 35		 6,  7, 26, 32, 34
 51		 8, 12, 31, 32, 35		 9, 11, 21, 23, 29
 52		 1,  4,  7,  8, 10		 2,  5, 13, 20, 26
 53		 1, 11, 16, 19, 33		 1,  6,  9, 21, 34
 54		 1, 12, 19, 23, 29		 1, 25, 27, 28, 34
 55		13, 23, 25, 27, 31		10, 11, 14, 16, 21
 56		 1,  6, 14, 30, 31		 5, 16, 19, 20, 24
 57		 2, 17, 25, 27, 29		14, 17, 21, 26, 33
 58		 4, 20, 28, 30, 33		 9, 12, 26, 31, 34
 59		17, 21, 26, 27, 35		 1,  3,  8, 11, 19
 60		11, 13, 20, 21, 22		 5,  6, 10, 17, 23
 61		 6, 11, 15, 23, 24		 3, 13, 23, 28, 30
 62		 7, 10, 23, 27, 32		 5, 15, 22, 31, 33
 63		 7, 14, 15, 22, 33		 3, 14, 17, 27, 28
 64		 3, 12, 13, 14, 34		 3, 13, 19, 20, 28
 65		 1, 17, 18, 21, 33		 3,  4, 12, 30, 32
 66		 5, 10, 12, 20, 21		 6,  9, 14, 21, 29
 67		 4, 10, 20, 27, 32		 6, 10, 16, 25, 26
 68		 1,  3,  7,  8, 34		 5, 12, 14, 24, 35
 69		 1, 13, 14, 26, 27		14, 19, 27, 30, 34
 70		 5, 10, 14, 23, 27		 7, 13, 14, 18, 22
 71		 7,  9, 15, 22, 27		 8, 13, 15, 28, 30
 72		 1,  3, 20, 21, 32		 2,  6, 21, 33, 34
 73		 1,  2,  8, 26, 28		13, 20, 23, 30, 34
 74		16, 19, 28, 31, 33		 3,  9, 15, 23, 31
 75		11, 18, 20, 26, 35		 1,  2,  7, 14, 26
 76		 5, 14, 15, 20, 25		 1,  7, 15, 31, 32
 77		 5,  9, 13, 14, 20		 3, 10, 13, 14, 16
 78		 3,  4,  8, 18, 24		 3, 23, 24, 32, 33
 79		 6, 13, 20, 30, 31		13, 23, 24, 26, 29
 80		10, 18, 19, 27, 33		11, 19, 25, 26, 30
 81		 3,  8,  9, 28, 34		 7, 20, 29, 30, 35
 82		 3,  4, 25, 26, 34		10, 16, 22, 33, 34
 83		 6, 12, 17, 26, 33		 7, 23, 24, 27, 28
 84		 1,  4, 10, 26, 32		 7,  8, 20, 29, 33
 85		 6,  8, 12, 20, 24		 7,  9, 10, 14, 17
 86		 1, 29, 30, 31, 32		 7, 22, 26, 27, 33
 87		 7,  9, 17, 25, 32		 5, 22, 26, 32, 35
 88		 6, 15, 17, 28, 35		 2,  7, 12, 17, 25
 89		 4,  6,  7, 20, 23		 5,  9, 14, 16, 20
 90		12, 13, 29, 30, 35		13, 20, 22, 23, 31
 91		 3, 16, 24, 27, 32		 8,  9, 22, 26, 34
 92		 1,  5, 13, 14, 17		 7, 11, 14, 28, 34
 93		 1, 10, 20, 30, 34		17, 28, 29, 30, 32
 94		10, 16, 27, 28, 33		 6,  9, 11, 15, 19
 95		 5,  6,  8, 16, 25		13, 16, 19, 26, 30
 96		 3,  5, 12, 21, 24		 7,  9, 16, 18, 33
 97		 9, 22, 23, 24, 32		 1, 14, 20, 25, 30
 98		 3,  6, 11, 14, 20		 1,  5,  8,  9, 12
 99		 8, 13, 14, 21, 31		 5, 10, 14, 20, 24
100		 5, 10, 11, 13, 35		 3, 11, 14, 29, 35
101		 5,  8, 15, 23, 34		 8,  9, 24, 27, 35
102		 2,  3, 20, 26, 32		 2, 11, 17, 21, 25
103		 3, 10, 11, 21, 29		 3,  5, 22, 26, 29
104		 2,  6,  7, 24, 26		 5, 15, 17, 18, 22
