601,4,8,18,30,31,34     15,23,24,26,34,38       3,5,11,20,29,35
1,3,6,7,15,26,32        3,5,10,14,26,39         1,4,8,21,29,34
2,15,16,17,28,33,38     5,9,22,23,25,39         5,8,20,23,27,41
3,2,3,14,32,36,41       4,9,12,20,21,30         3,9,14,16,30,41
4,5,11,16,22,28,34      13,16,17,23,24,26       1,2,18,22,23,35
5,10,12,18,30,39,42     3,14,31,33,37,42        9,11,17,18,34,38
6,8,9,11,33,37,40       3,12,27,30,32,36        6,10,11,16,19,22
7,13,25,27,29,34,39     4,9,12,13,20,40         3,15,20,34,37,42
8,12,15,27,31,40,42     1,18,19,29,35,38        4,16,17,23,28,38
9,5,19,20,23,26,42      2,15,17,33,34,39        1,3,15,33,36,38
10,3,9,10,14,15,40      12,18,22,25,31,34       16,21,23,26,31,32
11,11,19,23,28,38,40    5,8,11,27,29,38         2,21,30,35,39,41
12,4,6,10,32,33,34      12,14,17,18,28,41       12,15,25,26,29,30
13,8,29,32,34,41,42     11,26,27,30,31,33       17,18,25,27,31,33
14,6,17,18,30,37,39     6,17,25,32,38,41        11,18,27,30,33,38
15,8,23,25,32,35,36     10,15,18,20,21,25       4,13,15,17,27,41
16,4,15,27,29,31,35     6,19,25,30,33,38        2,4,15,28,29,30
17,1,4,12,15,21,31      10,11,18,35,40,41       2,5,6,28,30,42
18,2,3,19,27,30,37      4,9,12,13,28,30         8,9,16,21,37,40
19,17,21,27,29,30,33    13,14,17,24,25,33       9,10,11,12,20,31
20,2,3,5,10,23,35       4,17,27,31,32,34        1,12,18,22,28,41
21,4,8,17,20,28,39      1,10,13,20,34,37        5,13,26,28,30,36
22,6,15,16,38,40,42     2,3,11,24,30,36         17,24,31,32,38,40
23,5,14,18,21,39,40     21,28,31,32,33,39       1,12,19,25,35,39
24,2,6,11,23,29,33      9,14,23,24,27,35        1,2,11,13,34,41
25,2,8,13,18,20,29      16,17,22,27,31,42       2,6,7,29,30,33
26,9,13,22,23,28,37     6,8,15,18,22,36         3,4,9,12,20,25
27,1,17,19,22,36,39     2,7,12,15,37,42         1,3,12,19,24,28
28,11,15,18,31,34,41    4,9,12,19,31,39         5,7,9,17,22,35
29,2,9,19,24,34,40      18,20,24,28,32,36       4,9,16,25,28,38
30,6,14,17,23,32,33     3,24,29,33,38,41        3,11,16,26,34,38
31,7,10,18,21,24,42     11,20,22,23,24,36       2,7,10,18,31,40
