  1		 3,  8, 10, 11, 22, 28
  2		 4, 17, 20, 21, 26, 40
  3		 4,  5, 13, 16, 18, 27
  4		 8, 10, 12, 15, 17, 22
  5		 5,  6, 20, 21, 25, 32
  6		 4, 10, 19, 24, 35, 39
  7		18, 21, 26, 36, 38, 39
  8		 7,  8, 10, 16, 23, 25
  9		16, 23, 28, 31, 33, 34
 10		17, 19, 20, 23, 34, 35
 11		11, 15, 16, 25, 37, 38
 12		11, 16, 17, 31, 36, 37
 13		 2,  3, 20, 29, 37, 40
 14		 6, 16, 17, 25, 28, 36
 15		20, 22, 27, 31, 37, 42
 16		21, 22, 30, 32, 36, 38
 17		 7, 11, 13, 21, 30, 37
 18		 4, 18, 27, 33, 34, 40
 19		 7, 20, 21, 24, 25, 33
 20		 6,  9, 14, 19, 22, 33
 21		10, 12, 25, 30, 33, 40
 22		 7,  9, 12, 14, 16, 20
 23		13, 17, 34, 38, 40, 41
 24		 1,  5, 21, 29, 35, 37
 25		 4,  6, 16, 19, 38, 41
 26		 8, 14, 17, 30, 36, 40
 27		10, 16, 17, 20, 21, 41
 28		 4, 10, 15, 19, 25, 38
 29		 6,  8, 20, 22, 28, 30
 30		13, 18, 27, 28, 33, 35
 31		 3,  5, 22, 27, 31, 39
 32		 1,  7, 18, 21, 27, 40
 33		 2,  3,  8, 12, 16, 21
 34		10, 11, 12, 16, 21, 29
 35		 1,  4, 21, 24, 36, 42
 36		 7, 15, 23, 25, 26, 33
 37		 5, 18, 19, 20, 35, 36
 38		 4, 16, 18, 27, 29, 36
 39		 1,  6,  7, 18, 28, 31
 40		 5, 11, 21, 29, 33, 42
 41		 3,  4, 15, 18, 22, 37
 42		 6, 14, 15, 17, 20, 34
 43		 7, 10, 11, 27, 29, 40
 44		 1, 12, 20, 23, 24, 36
 45		 6,  7, 12, 24, 37, 41
 46		 4,  9, 14, 19, 35, 42
 47		 5,  6, 13, 24, 30, 40
 48		13, 25, 26, 27, 33, 39
 49		 2,  8, 14, 16, 18, 39
 50		 6, 17, 22, 23, 32, 39
 51		 7, 16, 27, 28, 29, 40
 52		 3,  4,  8, 16, 19, 35
 53		 5, 16, 24, 30, 34, 35
 54		 9, 14, 19, 27, 32, 34
 55		19, 21, 29, 31, 35, 42
 56		 2,  6,  8, 10, 18, 38
 57		 3, 15, 16, 19, 33, 36
 58		 7, 14, 18, 22, 24, 30
 59		 9, 13, 21, 39, 41, 42
 60		 9, 11, 20, 28, 31, 36
 61		 8, 20, 21, 23, 24, 33
 62		 7, 21, 25, 31, 34, 39
 63		 9, 15, 17, 24, 28, 38
 64		 8, 11, 13, 23, 27, 39
 65		 8,  9, 14, 16, 26, 31
 66		 4, 13, 28, 35, 37, 39
 67		 1,  3, 17, 28, 29, 38
 68		 1,  3,  4, 17, 20, 22
 69		 1,  2, 10, 18, 41, 42
 70		11, 14, 15, 26, 32, 41
 71		15, 18, 21, 28, 31, 40
 72		 7,  8, 13, 15, 26, 42
 73		 9, 10, 16, 22, 27, 39
 74		 4,  8, 17, 28, 30, 42
 75		 2,  4, 12, 35, 36, 39
 76		 5, 10, 12, 15, 33, 37
 77		 7, 19, 28, 31, 38, 40
 78		 1,  6,  8, 10, 38, 42
 79		 1,  2,  3, 18, 21, 41
 80		 5, 14, 27, 31, 33, 34
 81		 1,  7,  8, 38, 40, 41
 82		 3, 22, 30, 32, 34, 40
 83		16, 29, 37, 38, 41, 42
 84		 8, 11, 21, 29, 30, 32
 85		 7, 23, 26, 29, 33, 38
 86		 5,  7, 14, 26, 36, 37
 87		 3,  7,  9, 17, 24, 35
 88		 9, 15, 19, 28, 32, 40
 89		 6, 10, 13, 19, 28, 42
 90		10, 16, 22, 23, 29, 33
 91		12, 13, 26, 28, 31, 41
 92		15, 18, 20, 24, 31, 37
 93		 6, 21, 24, 35, 36, 42
 94		 5,  7, 15, 20, 35, 38
 95		 2,  6, 15, 32, 35, 41
 96		 2, 14, 16, 19, 32, 38
 97		 5, 11, 22, 24, 34, 42
 98		 4,  9, 12, 17, 31, 40
 99		 1, 12, 16, 18, 31, 40
100		14, 17, 29, 30, 34, 41
101		 2,  3, 21, 28, 30, 35
102		21, 28, 29, 30, 34, 42
103		 2,  6,  9, 27, 37, 42
104		 8, 10, 14, 22, 32, 42
105		 3,  5,  9, 19, 28, 32
106		 2, 11, 23, 30, 34, 36
