1,15,17,25,28,30,32     10,11,20,24,27,32       5,12,15,19,30,38
2,3,13,20,28,36,38      5,17,22,29,40,42        11,12,17,30,39,40
3,4,15,19,29,37,40      15,21,26,29,36,38       7,18,22,24,26,30
4,1,7,11,18,25,26       11,20,23,25,29,31       5,19,23,26,28,31
5,12,21,29,36,39,42     4,19,21,22,30,32        1,3,7,11,39,40
6,6,7,17,24,29,41       6,9,33,34,37,38         2,7,13,16,26,37
7,11,12,13,15,39,41     5,10,11,15,24,27        3,7,10,34,38,42
8,3,4,19,29,30,32       17,20,29,34,36,38       1,9,22,35,38,39
9,7,21,25,28,35,40      14,15,16,23,37,39       1,8,22,28,29,32
10,4,17,20,28,34,42     3,10,16,20,21,30        2,4,16,18,39,41
11,5,9,20,34,36,40      3,11,13,27,31,41        11,13,35,36,37,42
12,1,11,18,20,36,39     5,12,18,21,25,33        4,22,29,33,38,40
13,2,4,15,25,29,36      8,12,21,23,24,33        4,11,14,19,32,34
14,13,18,20,21,24,34    10,16,19,23,35,42       3,6,14,30,32,34
15,10,12,13,26,28,36    1,14,16,19,25,33        4,7,9,12,33,41
16,2,13,16,24,32,42     2,3,4,11,32,34          16,17,21,32,39,41
17,6,7,11,12,14,33      2,10,11,25,34,41        4,23,25,29,32,36
18,12,24,33,34,35,42    4,5,17,35,36,42         2,3,8,17,21,41
19,6,18,20,24,34,39     10,11,16,21,25,34       4,10,22,26,33,35
20,1,11,17,20,22,24     3,5,8,11,18,25          1,3,7,8,15,22
21,6,9,12,29,30,34      2,5,11,17,31,35         2,10,11,12,31,34
22,4,9,24,35,40,41      8,16,22,29,31,42        6,11,18,19,24,35
23,3,13,16,21,36,39     11,12,16,19,24,40       5,18,21,22,24,42
24,3,9,13,20,32,42      5,17,32,33,36,42        6,10,24,32,36,40
25,1,5,10,36,39,40      1,17,26,29,34,40        19,28,33,38,40,42
26,5,7,12,18,28,35      12,15,27,36,37,42       10,12,20,33,36,42
27,1,3,9,35,37,41       1,4,8,13,21,40          5,7,18,21,23,42
28,4,7,13,27,28,35      3,7,12,28,34,36         2,4,5,10,17,40
29,6,15,20,32,37,41     6,15,17,20,21,37        7,8,11,15,27,30
30,1,6,12,14,22,35      4,6,17,33,39,41         8,21,31,32,36,39
31,8,11,29,35,37,42     5,15,17,34,39,42        12,17,24,25,39,42
32,6,10,15,18,19,35     8,23,26,27,28,42        9,15,28,31,37,41
33,5,12,20,22,39,41     3,20,22,23,25,32        4,14,27,33,37,42
34,8,11,23,24,31,42     7,18,26,31,33,36        1,5,18,24,28,36
35,1,3,11,18,23,34      1,11,25,38,39,41        1,10,17,18,27,28
36,6,12,16,32,35,38     6,7,17,18,38,40         7,18,20,24,26,29
37,10,13,15,16,25,42    3,14,31,32,36,39        3,7,12,24,26,38
38,1,9,19,21,28,40      2,12,16,17,33,37        5,17,23,35,38,40
39,1,7,11,12,23,40      1,14,19,27,30,38        2,35,36,38,41,42
40,2,11,13,15,16,22     3,11,14,16,25,29        2,19,21,22,27,39
41,11,19,24,25,35,37    7,8,16,17,30,31         4,7,19,23,28,42
42,3,6,14,15,17,30      6,13,22,30,32,42        9,21,22,31,32,35
43,2,7,20,21,30,37      3,4,5,7,30,39           6,14,23,27,31,40
44,12,13,18,25,31,38    10,12,16,18,39,42       5,22,25,33,38,39
45,1,5,8,29,37,42       2,8,20,27,39,42         6,10,23,26,29,37
46,4,5,12,25,32,39      8,20,28,31,34,38        4,6,15,25,37,40
47,12,15,23,26,27,32    2,4,13,25,31,38         1,8,22,31,39,40
48,2,5,26,33,37,39      3,4,6,19,33,36          7,9,25,29,35,39
49,5,6,27,30,34,40      1,5,10,15,38,39         1,19,21,26,33,40
50,9,16,19,37,40,41     1,6,10,11,15,37         4,11,21,24,33,36
51,10,13,21,38,40,41    1,12,21,32,37,42        3,24,27,35,36,37
52,1,5,22,25,39,42      5,11,23,29,36,37        2,7,22,31,34,38
53,8,19,21,22,27,36     7,10,26,28,34,39        3,8,10,11,15,39
54,8,13,22,32,35,37     2,10,15,16,33,34        1,6,17,24,31,35
55,13,17,29,32,34,41    14,20,21,22,27,33       8,16,17,19,22,41
56,4,6,12,31,36,41      9,13,17,24,30,35        1,15,27,29,30,34
57,8,11,12,14,20,24     2,3,4,18,25,39          5,9,11,19,31,32
58,17,18,19,32,38,41    6,7,23,36,40,42         1,2,7,19,22,40
59,5,17,23,27,31,40     7,8,14,18,28,36         12,14,16,31,34,37
60,16,21,29,30,34,39    6,9,16,26,34,41         19,20,22,26,28,38
61,6,16,17,23,38,41     14,15,25,37,41,42       6,18,24,34,38,39
62,9,12,14,15,27,39     3,4,8,10,30,36          3,7,18,20,25,26
63,5,6,14,24,28,29      3,4,11,14,16,33         16,21,24,27,37,39
64,4,13,18,25,30,39     7,10,17,20,37,41        1,7,15,17,25,33
65,6,16,17,21,26,30     4,17,19,24,36,39        1,4,6,21,26,42
66,2,13,29,32,34,39     9,16,30,33,36,37        1,3,18,22,23,28
67,1,5,8,13,25,31       7,15,26,36,39,42        2,5,12,19,27,36
68,5,10,15,25,31,32     3,8,9,12,22,24          1,12,13,15,19,37
69,2,5,8,11,20,35       7,8,10,12,24,35         12,20,29,30,33,42
70,8,9,11,25,29,37      2,12,16,17,37,41        3,11,16,25,29,37
71,3,20,24,31,32,40     8,18,24,28,31,41        2,3,14,22,25,41
72,6,9,16,20,29,39      13,14,15,23,32,41       4,16,17,24,39,40
73,10,12,25,30,32,42    7,18,24,26,27,29        5,7,8,19,26,39
74,4,6,7,11,28,29       5,12,14,19,22,30        2,6,25,28,29,32
75,4,5,10,15,21,34      4,18,24,27,28,41        3,21,24,30,33,35
76,4,6,14,24,32,33      6,8,15,19,26,31         18,19,27,31,36,40
77,7,8,19,27,31,35      2,5,8,30,37,38          12,13,23,24,30,33
78,3,9,20,28,33,42      1,6,8,11,26,38          1,14,18,23,37,42
79,8,9,12,23,36,38      17,20,22,26,34,39       5,11,23,25,31,39
80,8,18,33,36,37,38     6,16,21,24,30,39        2,11,18,20,25,26
81,4,14,22,31,36,37     6,12,15,22,34,42        11,17,20,34,41,42
82,18,24,27,29,33,35    6,8,17,21,30,31         6,11,18,29,37,38
83,6,9,16,28,29,36      3,5,10,18,23,37         3,4,16,24,29,42
84,2,8,24,26,29,37      9,11,14,22,26,31        1,14,23,25,33,41
85,8,20,21,26,36,38     3,4,22,26,30,37         3,4,9,10,22,35
86,4,23,27,34,36,39     8,11,14,21,37,41        2,14,15,16,26,41
87,5,9,15,18,27,30      11,13,14,28,30,35       2,13,14,19,20,41
88,10,11,18,28,29,37    1,7,13,27,28,37         6,20,22,23,31,37
89,12,16,28,30,34,38    2,5,6,10,25,41          6,8,14,21,28,35
90,1,17,25,35,36,40     4,18,21,23,27,32        13,14,17,24,25,40
91,3,7,9,15,20,41       3,9,15,17,20,25         4,7,21,22,37,42
92,13,19,24,26,31,33    7,13,19,20,35,39        3,8,17,30,35,41
93,3,7,17,24,35,38      11,18,21,32,36,42       4,6,8,13,14,15
94,6,16,23,32,33,42     2,5,6,15,17,30          3,12,18,20,29,37
95,2,5,7,14,27,31       1,7,17,26,27,37         6,19,21,28,33,34
96,6,14,16,21,30,36     2,7,12,27,37,40         2,14,18,19,24,41
97,24,26,37,38,39,41    1,14,27,32,37,38        2,5,20,23,38,42
98,4,7,17,22,38,40      10,15,18,25,26,40       2,5,15,17,31,33
99,4,19,20,23,26,40     17,25,27,33,40,41       7,13,23,31,35,39
100,4,15,18,21,28,35    1,17,19,21,35,36        4,6,23,26,29,42
101,2,17,22,25,34,35    5,7,15,18,24,30         5,12,13,15,28,35
102,4,7,11,14,27,32     2,6,22,27,31,33         3,13,22,26,27,30
103,9,13,14,19,33,36    5,9,14,19,25,27         1,3,4,25,26,37
104,7,10,15,38,39,40    8,13,19,30,35,40        2,8,23,27,36,42
