  1		 1, 15, 23, 24, 29, 42
  2		 5, 14, 15, 22, 23, 34
  3		 3,  5, 25, 28, 29, 32
  4		 4, 10, 11, 18, 30, 33
  5		16, 18, 21, 31, 35, 42
  6		 8, 11, 16, 18, 23, 34
  7		 6,  9, 13, 15, 22, 23
  8		20, 25, 27, 28, 33, 42
  9		 1, 12, 18, 21, 24, 39
 10		 7, 10, 29, 30, 32, 42
 11		 9, 18, 19, 32, 33, 35
 12		 1,  9, 11, 17, 22, 33
 13		14, 22, 27, 39, 41, 42
 14		 5,  9, 26, 29, 41, 42
 15		 6, 30, 33, 36, 37, 39
 16		 1,  7, 21, 31, 33, 40
 17		 3,  4,  7, 19, 35, 38
 18		14, 22, 33, 37, 38, 40
 19		 2,  4, 19, 20, 29, 33
 20		 8, 12, 23, 25, 31, 36
 21		 1,  5,  9, 25, 30, 37
 22		 9, 10, 17, 29, 30, 40
 23		 4, 14, 25, 32, 36, 40
 24		13, 14, 16, 19, 35, 41
 25		 2, 23, 24, 29, 39, 41
 26		13, 19, 22, 24, 33, 34
 27		 1,  3, 12, 27, 32, 35
 28		 2,  9, 23, 27, 32, 39
 29		 1, 20, 23, 30, 39, 41
 30		 3, 17, 18, 21, 28, 29
 31		 4, 15, 24, 25, 34, 41
 32		 2,  8,  9, 21, 26, 29
 33		 5,  9, 15, 24, 36, 40
 34		 9, 10, 24, 29, 35, 41
 35		12, 19, 21, 22, 34, 36
 36		 9, 15, 25, 34, 35, 36
 37		 3,  6, 21, 33, 34, 35
 38		 4,  7, 11, 14, 15, 22
 39		 2,  4,  5, 12, 16, 23
 40		 8, 25, 27, 29, 40, 41
 41		14, 22, 24, 26, 27, 31
 42		 5, 10, 21, 23, 26, 31
 43		 6,  7, 11, 14, 26, 38
 44		 6,  9, 13, 15, 25, 34
 45		 9, 13, 19, 20, 32, 41
 46		 9, 16, 17, 24, 28, 39
 47		 3, 14, 20, 21, 27, 42
 48		15, 22, 24, 26, 29, 35
 49		21, 28, 29, 32, 37, 42
 50		 4,  7, 19, 22, 36, 37
 51		 8, 15, 18, 19, 27, 35
 52		 8, 11, 14, 15, 20, 40
 53		14, 24, 27, 28, 29, 33
 54		 6,  8, 11, 16, 21, 40
 55		 5,  7,  9, 25, 26, 29
 56		 1, 10, 17, 27, 29, 38
 57		 4,  5,  9, 20, 29, 30
 58		 1, 21, 26, 29, 31, 32
 59		 7, 17, 20, 28, 36, 42
 60		 1,  9, 11, 15, 19, 37
 61		 1,  7, 16, 17, 18, 40
 62		 3, 10, 29, 33, 36, 39
 63		 5, 12, 13, 18, 27, 40
 64		 5, 11, 16, 29, 32, 34
 65		 7, 17, 32, 39, 40, 41
 66		 1,  7, 13, 17, 21, 38
 67		 2, 18, 28, 34, 36, 40
 68		 5, 17, 28, 33, 35, 42
 69		 4,  8, 21, 33, 36, 41
 70		 3, 14, 16, 27, 41, 42
 71		 4,  8,  9, 11, 22, 41
 72		 5, 10, 19, 20, 27, 35
 73		 7,  9, 13, 14, 23, 40
 74		 4, 14, 19, 25, 40, 42
 75		 4, 12, 20, 22, 31, 35
 76		 8, 17, 19, 22, 26, 27
 77		 6, 12, 15, 19, 26, 32
 78		 2, 21, 22, 30, 33, 34
 79		 2,  6, 14, 21, 23, 28
 80		 2,  4, 12, 18, 25, 27
 81		 1,  3, 29, 33, 38, 40
 82		14, 23, 29, 33, 39, 40
 83		11, 15, 18, 25, 36, 38
 84		 9, 11, 12, 18, 24, 42
 85		 1,  7,  9, 30, 32, 39
 86		14, 18, 22, 31, 32, 41
 87		 7,  8, 16, 20, 23, 28
 88		 4,  8, 14, 21, 31, 32
 89		 3,  9, 24, 25, 29, 31
 90		 1,  5,  7, 10, 34, 40
 91		 3, 11, 15, 18, 28, 29
 92		 4,  5,  7, 18, 28, 42
 93		 9, 10, 11, 14, 16, 22
 94		 2, 17, 22, 27, 37, 41
 95		 5,  6,  7, 10, 22, 33
 96		11, 25, 26, 29, 38, 41
 97		10, 18, 19, 29, 35, 41
 98		 9, 14, 22, 23, 24, 31
 99		 3,  5, 19, 22, 34, 37
100		12, 14, 17, 24, 31, 37
101		 5,  7, 12, 22, 33, 40
102		 2,  5,  8, 10, 20, 36
103		 5,  8, 22, 25, 31, 33
104		 5, 23, 27, 31, 32, 42
