0,2,9,20,21,26,27       14,17,19,21,27,37
1,17,21,25,28,39,42     8,14,15,16,31,37
2,14,17,33,35,37,42     6,10,11,20,29,37
3,5,8,13,16,23,42       8,17,23,31,35,38
4,5,6,16,36,37,40       2,6,14,25,28,35
5,11,18,20,24,28,40     17,18,19,32,33,39
6,2,23,27,30,37,40      5,7,20,22,23,37
7,11,21,30,31,36,42     3,7,11,13,26,36
8,4,8,10,17,24,30       2,10,23,33,38,41
9,8,10,23,27,35,38      4,16,26,27,29,37
10,3,9,11,27,31,39      7,16,18,27,33,38
601,2,13,16,23,32,33    20,23,27,29,34,41
11,3,4,17,19,34,38      8,9,14,20,24,31
12,5,6,25,35,37,42      3,17,21,25,27,36
13,12,13,24,29,34,40    6,7,18,26,28,33
14,6,11,13,22,31,42     1,7,8,11,15,16
15,9,16,18,22,23,31     9,16,28,29,31,39
16,7,14,18,19,24,32     5,6,13,30,39,41
17,5,10,26,27,29,37     13,16,20,23,31,40
18,2,7,9,25,27,29       8,17,24,31,37,42
19,15,19,27,31,34,35    5,17,21,29,33,35
20,10,16,20,22,35,39    3,9,12,28,34,42
21,1,5,9,36,40,42       14,18,24,27,33,36
22,2,3,6,14,22,32       4,5,13,23,27,31
23,1,2,4,7,21,35        8,11,21,25,26,36
24,8,10,25,26,33,35     4,5,7,30,31,39
25,9,10,14,29,32,36     1,11,12,19,22,37
26,6,17,21,24,31,41     2,9,17,22,37,42
27,18,27,31,36,37,42    5,12,21,24,37,39
28,7,17,25,31,35,36     9,11,16,33,39,40
29,5,6,17,19,24,36      10,19,23,24,27,34
30,1,8,9,14,18,24       3,5,11,19,27,32
31,7,11,23,24,30,42     13,18,21,22,31,36
32,2,7,9,16,23,26       7,8,21,23,37,41
602,11,21,25,29,34,42   8,9,16,33,37,40
33,4,7,12,16,37,40      1,16,18,20,21,36
34,6,11,31,32,33,35     2,6,8,26,35,42
35,16,18,19,21,27,32    5,11,26,28,37,41
36,3,8,19,22,29,40      10,22,23,24,25,36
37,2,8,19,24,27,42      7,8,22,24,27,31
38,11,15,17,24,35,39    1,33,34,38,39,40
39,2,10,22,26,27,40     8,11,15,16,24,26
40,1,9,12,20,25,30      2,9,16,24,28,29
41,7,20,25,27,33,38     11,15,21,24,31,38
42,8,11,14,26,29,37     20,21,26,33,35,42
43,3,11,12,26,32,41     5,20,23,33,34,39
44,1,3,11,21,24,26      4,12,16,27,34,40
45,11,12,23,26,32,35    6,8,23,25,32,41
46,5,8,16,21,23,34      8,11,18,24,39,42
47,10,18,19,30,35,37    6,23,24,27,28,37
48,1,7,15,18,20,28      4,6,16,19,27,30
49,13,14,16,17,18,25    13,15,19,25,37,38
50,2,12,13,14,17,39     4,11,19,26,31,39
51,4,5,21,23,30,38      1,8,25,36,39,42
52,14,15,21,31,37,40    12,17,23,28,31,37
